appID,name,genres,categories,tags,short_description,true_label,predicted_label,is_error,error_type
3006550,Hell's Underground,['Action' 'Adventure' 'Casual' 'Indie'],['Single-player' 'Family Sharing'],[],Descend into the eerie depths of the London Underground in this spine-chilling horror game. Navigate through claustrophobic tunnels and ominous sewers while evading terrifying monsters. Every step brings you closer to escape... or to your doom.,0,1,True,False Positive
1118880,Rituals in the Dark,['Indie' 'Simulation'],"['Single-player' 'Steam Achievements' 'Steam Trading Cards'
 'Family Sharing']",[],"A lesbian / yuri romance story with mild horror elements set in the rainy English seaside town of Scarborough. Our heroine, Aspen, meets the mysterious, beautiful Althea in the dead of night, but who is Althea really...?",0,1,True,False Positive
3487660,The Bunker,['Action' 'Adventure' 'Indie'],['Single-player' 'Family Sharing'],[],"Trapped in an abandoned bunker, you are alone—your friends locked out, something else locked in. This PSX, VHS-style found-footage psychological horror plunges you into a nightmare of analog terror. Will you unravel the truth, survive the bunker’s horrors, and discover the fate of your friends?",1,0,True,False Negative
946000,Captain MaCaw,['Adventure' 'Indie'],"['Single-player' 'Steam Achievements' 'Partial Controller Support'
 'Family Sharing']",[],A retro platform adventure in the style of the ZX Spectrum.........starring a pirate! ARRRR!,0,1,True,False Positive
679690,SwapQuest,['Casual' 'Indie' 'RPG'],"['Single-player' 'Multi-player' 'Co-op' 'Shared/Split Screen Co-op'
 'Shared/Split Screen' 'Steam Achievements' 'Full controller support'
 'Steam Cloud' 'Steam Leaderboards' 'Remote Play on TV'
 'Remote Play Together' 'Family Sharing']",[],SwapQuest is a captivating new mix of easy-to-learn puzzle mechanics and old-school RPG elements.,0,1,True,False Positive
1102260,RANK RUNNER,['Action' 'Casual' 'Indie'],"['Single-player' 'Full controller support' 'Steam Leaderboards'
 'Family Sharing']",[],"Bullet-hell meets endless runner. LITERALLY ascend the Leaderboard as you play. RANK RUNNER is an intense highscore chaser, wrapped in a neon retro aesthetic. Come run the Leaderboard.",0,1,True,False Positive
364710,Wonky Pigeon!,['Action' 'Indie'],"['Single-player' 'Multi-player' 'Shared/Split Screen'
 'Steam Trading Cards' 'Partial Controller Support' 'Remote Play Together'
 'Family Sharing']",[],"Engage in the craziest war against humans.. as a pigeon! Use famous war tactics such as engagement, avoiding and target fixing to center unlucky people with poo and get points for that.",0,1,True,False Positive
2541380,Mystery Box 2: Evolution,['Adventure' 'Indie' 'Strategy'],['Single-player' 'Steam Achievements' 'Family Sharing'],[],Enjoy the 2nd chapter of the Mystery Box game series! Unlock 57 boxes by solving tons of intriguing puzzles that will put your brain to work!,0,1,True,False Positive
1907060,Craft Hero - Prologue,['RPG' 'Simulation' 'Strategy' 'Free To Play'],['Single-player' 'Partial Controller Support'],[],"Gather resources by day, build and recruit by noon, defend your village by night! A new minimalism sandbox survival with countless new ideas – Craft Hero",1,0,True,False Negative
2807540,HARSH.,['Action' 'Indie'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Family Sharing']",[],"The agressive, heavy, frantic and HARSH. roguelite. Blast metal and agressive electronic music. Your dash is the only way to switch guns.",0,1,True,False Positive
704140,Edge Of Existence,['Action' 'Casual' 'Strategy' 'Early Access'],['Single-player' 'Multi-player'],[],"Edge Of Existence. Is a throw back to the Classics of RTS where you can build up your base and build up your massive army. Ranging from Ground units , Air Units and Sea Units. We also take you on a story base RTS where a faction has a meaning to the map or why its in-game. We are a balance focus on PvP, PvE and Story/Campaign.",0,1,True,False Positive
417840,Mysterious Castle,['Adventure' 'Casual'],['Single-player' 'Family Sharing'],[],"Mysterious Castle is a classic “escape room” game re-imagined for the modern day with a crisply rendered 3D world full of locked chests, hidden doors, and mind boggling puzzles.",0,1,True,False Positive
1551540,Tower of Ardia,['Adventure' 'Indie' 'RPG'],['Single-player' 'Steam Cloud' 'Family Sharing'],[],"Relia challenges the dungeon tower of Ardia in hopes of finding a cure for her sister's weakened body. However, the tower is cursed with the witch Ardia's powers, and it will be no simple feat for Relia to conquer the spire and attain the wish-granting magic to save her sister.",1,0,True,False Negative
