appID,name,genres,categories,tags,short_description,true_label,predicted_label,is_error,error_type
41300,Altitude,['Action' 'Casual' 'Free To Play' 'Indie' 'Simulation' 'Strategy'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'LAN PvP' 'Co-op'
 'Online Co-op' 'LAN Co-op' 'Cross-Platform Multiplayer'
 'Steam Achievements' 'Partial Controller Support' 'Stats'
 'Includes level editor']",[],"Now Available on PC, Mac and Linux!",1,0,True,False Negative
2099680,Rent A Car Simulator 24,['Casual' 'Racing' 'Simulation' 'Early Access'],"['Single-player' 'Multi-player' 'Co-op' 'Online Co-op' 'LAN Co-op'
 'Steam Achievements' 'Partial Controller Support' 'Steam Cloud' 'Stats'
 'Steam Leaderboards' 'Family Sharing']",[],Rent A Car Simulator. Start by renting your first car. Expand your rental car fleet by purchasing different vehicles and grow your car rental business. Drive your cars and get them fixed when they break down. Find new customers. You can also develop your Rent A Car business by playing Co-Op.,0,1,True,False Positive
1126580,The Captain is Dead,['Strategy'],"['Single-player' 'Multi-player' 'Co-op' 'Shared/Split Screen Co-op'
 'Shared/Split Screen' 'Steam Achievements' 'Remote Play Together'
 'Family Sharing']",[],"It’s the last 10 minutes of your favorite sci-fi TV show… except that this time things have gone seriously wrong and The Captain Is Dead! This turn-based, survival/strategy puts you in the Captain's chair as you try to save your crew from being blown to bits by aliens...",1,0,True,False Negative
1045430,Circadian City,['Adventure' 'Indie' 'RPG' 'Simulation' 'Strategy' 'Early Access'],"['Single-player' 'Steam Achievements' 'Partial Controller Support'
 'Steam Cloud' 'Family Sharing']",[],A life sim game where you play both in the Realworld and the Dreamworld. Your personality is your skill tree.,0,1,True,False Positive
347250,F-19 Stealth Fighter,['Simulation'],['Single-player' 'Family Sharing'],[],"F-19 STEALTH FIGHTER takes combat flying to new heights. With dazzling graphics and authentic, real-world scenarios. F-19 creates action-packed excitement that keeps you coming back for more! It's easy to learn, but satisfyingly tough to master.",1,0,True,False Negative
445220,Avorion,['Action' 'Indie' 'Simulation'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'LAN PvP' 'Co-op'
 'Online Co-op' 'LAN Co-op' 'Cross-Platform Multiplayer'
 'Steam Achievements' 'Steam Trading Cards' 'Steam Workshop'
 'Valve Anti-Cheat enabled' 'Stats' 'Family Sharing']",[],"A procedural co-op space sandbox where players can build their own space ships out of dynamically scalable blocks. Fight epic space battles, explore, mine, trade, wage wars and build your own empire to save your galaxy from being torn apart by an unknown enemy.",1,0,True,False Negative
1969310,Demeo Battles,['Adventure' 'Indie' 'RPG' 'Strategy'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP'
 'Cross-Platform Multiplayer' 'Steam Achievements'
 'Full controller support' 'Tracked Controller Support' 'VR Supported'
 'Family Sharing']",[],"Demeo Battles is a competitive PvP turn-based strategy game. Choose your champion, assemble an army of monstrous minions, and team up with fellow champions in your quest for turn-based glory!",0,1,True,False Positive
2585040,GUNVOLT RECORDS Cychronicle,['Action' 'Casual'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Steam Trading Cards' 'Steam Cloud' 'Family Sharing']",[],"A new rhythm music game starring the songstresses of the Azure Striker Gunvolt series, Lumen, Lola, and Luxia singing 15 different songs. Follow the notes to the pounding beat and aim for a top score in this electrifying rhythm game!",0,1,True,False Positive
515040,Make America Great Again: The Trump Presidency,['Action' 'Casual' 'Indie' 'Simulation' 'Strategy'],"['Single-player' 'Steam Achievements' 'Steam Trading Cards'
 'Family Sharing']",[],A Pro-Donald Trump presidential simulation. Make America Rich Again through trade. Make America Safe again by Defeating ISIS. Make America Great Again!,1,0,True,False Negative
437390,HoPiKo,['Action' 'Casual' 'Indie'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Steam Trading Cards' 'Steam Cloud' 'Steam Leaderboards'
 'Remote Play on TV' 'Family Sharing']",[],"HoPiKo is an intense speed run platformer where you get to save gaming. Jump from platform to platform avoiding death, exploiting shortcuts and ripping through 100s of hand-crafted levels, each one dropped into a 5-stage mini run designed to break your mind!",0,1,True,False Positive
